DateTime,Transaction,Product,LineItem,Amount,BalanceDetails,OrderDate,Payment,OrderNumber,AuthCode,Total
Nov-08-2018 12:37 PM,Tap in at Bus Stop 50268,3 Zone UPass (N),,$0.00,$14.70,,,,,
Nov-08-2018 08:01 AM,Tap in at Bus Stop 58023,3 Zone UPass (N),,$0.00,$14.70,,,,,
Nov-07-2018 06:10 PM,Tap in at Bus Stop 50268,3 Zone UPass (N),,$0.00,$14.70,,,,,
Nov-07-2018 10:36 AM,Tap in at Bus Stop 58023,3 Zone UPass (N),,$0.00,$14.70,,,,,
Nov-06-2018 12:32 PM,Tap in at Bus Stop 61935,3 Zone UPass (N),,$0.00,$14.70,,,,,
Nov-06-2018 08:01 AM,Tap in at Bus Stop 58023,3 Zone UPass (N),,$0.00,$14.70,,,,,
Nov-05-2018 04:26 PM,Transfer at Bus Stop 61701,3 Zone UPass (N),,$0.00,$14.70,,,,,
Nov-05-2018 03:02 PM,Tap in at Bus Stop 58023,3 Zone UPass (N),,$0.00,$14.70,,,,,
Nov-02-2018 08:41 PM,Tap in at Bus Stop 61935,3 Zone UPass (N),,$0.00,$14.70,,,,,
Nov-02-2018 09:11 AM,Tap in at Bus Stop 58023,3 Zone UPass (N),,$0.00,$14.70,,,,,
Nov-01-2018 05:01 PM,Tap in at Bus Stop 61701,3 Zone UPass (N),,$0.00,$14.70,,,,,
Nov-01-2018 11:48 AM,Tap in at Bus Stop 58023,3 Zone UPass (N),,$0.00,$14.70,,,,,
Nov-01-2018 09:52 AM,Tap in at Bus Stop 61701,3 Zone UPass (N),,$0.00,$14.70,,,,,
Nov-01-2018 07:56 AM,Tap in at Bus Stop 58023,3 Zone UPass (N),,$0.00,$14.70,,,,,
Oct-31-2018 04:29 PM,Tap in at Bus Stop 50268,3 Zone UPass (N),,$0.00,$14.70,,,,,
Oct-31-2018 04:29 PM,Loaded at Bus Stop 50268,3 Zone UPass (N),,$0.00,$14.70,,,,,
Oct-31-2018 02:40 PM,Tap in at Bus Stop 58023,3 Zone UPass (N),,$0.00,$14.70,,,,,
Oct-30-2018 04:54 PM,Tap in at Bus Stop 58895,3 Zone UPass (N),,$0.00,$14.70,,,,,
Oct-30-2018 08:04 AM,Tap in at Bus Stop 58023,3 Zone UPass (N),,$0.00,$14.70,,,,,
